source,config,encoder,preset,quality,source_bytes,output_bytes,size_pct,encode_seconds,vmaf_mean,vmaf_min,vmaf_p1,cambi_mean,cambi_max
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-22","libx265","slow","22",2222060920,955406198,43.00,1715,95.792323,84.736190,91.878258,0.503500,23.438779
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-medium-20","libx265","medium","20",2222060920,1073186299,48.30,894,95.716496,84.758298,91.730245,0.494195,23.841745
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p7hq-24","hevc_nvenc","p7hq","24",2222060920,920064744,41.41,182,95.233719,46.937129,86.473328,0.851962,23.851195
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p7hq-28","hevc_nvenc","p7hq","28",2222060920,540975775,24.35,180,93.681801,48.548329,81.835395,1.068893,20.645621
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p7hq-32","hevc_nvenc","p7hq","32",2222060920,319554409,14.38,180,91.157157,35.809722,74.625215,1.252505,13.347742
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","nvenc-p4hq-28","hevc_nvenc","p4hq","28",2222060920,543365785,24.45,76,93.499286,47.653780,81.771733,1.066817,20.531835
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-18","libx265","slow","18",1300163196,1009854815,77.67,2507,83.213160,0.000000,0.000000,0.092247,19.255898
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-20","libx265","slow","20",1300163196,709317000,54.56,2270,82.968039,0.000000,0.000000,0.099768,18.489730
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-slow-22","libx265","slow","22",1300163196,502301608,38.63,2091,82.670804,0.000000,0.000000,0.141675,17.552521
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","x265-medium-20","libx265","medium","20",1300163196,592924910,45.60,1016,82.522976,0.000000,0.000000,0.162148,18.309958
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p7hq-24","hevc_nvenc","p7hq","24",1300163196,701466727,53.95,231,82.499935,0.000000,0.000000,0.227311,15.150610
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p7hq-28","hevc_nvenc","p7hq","28",1300163196,382746140,29.44,230,81.498220,0.000000,0.000000,0.412164,13.783089
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p7hq-32","hevc_nvenc","p7hq","32",1300163196,233365253,17.95,229,79.664727,0.000000,0.000000,0.563796,10.208948
"/media/tv/Cells at Work!/Season 1/Cells at Work! - S01E05 - Cedar Pollen Allergies HDTV-1080p.mkv","nvenc-p4hq-28","hevc_nvenc","p4hq","28",1300163196,389228615,29.94,97,81.344937,0.000000,0.000000,0.418244,14.100222
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-18","libx265","slow","18",1712391412,584267178,34.12,1797,86.066267,0.000000,0.000000,1.132390,17.644753
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-20","libx265","slow","20",1712391412,389268940,22.73,1630,85.839090,0.000000,0.000000,1.278836,16.352031
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-slow-22","libx265","slow","22",1712391412,275108388,16.07,1533,85.548808,0.000000,0.000000,1.443815,15.170843
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","x265-medium-20","libx265","medium","20",1712391412,341241753,19.93,779,85.498504,0.000000,0.000000,1.253626,16.385806
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p7hq-24","hevc_nvenc","p7hq","24",1712391412,471113147,27.51,283,85.697925,0.000000,0.000000,1.315274,9.751984
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p7hq-28","hevc_nvenc","p7hq","28",1712391412,255502243,14.92,246,84.880420,0.000000,0.000000,1.675833,9.112879
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p7hq-32","hevc_nvenc","p7hq","32",1712391412,165133622,9.64,241,83.490370,0.000000,0.000000,1.849473,9.702146
"/media/tv/Fire Force/Season 1/Fire Force - S01E05 - The Battle Begins WEBDL-1080p.mkv","nvenc-p4hq-28","hevc_nvenc","p4hq","28",1712391412,261930384,15.30,105,84.729015,0.000000,0.000000,1.715776,9.080772
